numero_dec,solution,article38,date_dec,jonction,id_infos_circo_tf,id_infos_circo_t1,annee_election,date_premier_tour,date_second_tour,type_election,nom_dep,circonscription,tour_final,tf_nb_exprimees,tf_nb_votant,tf_nb_inscrit,tf_ecart1,tf_r1_nuance,tf_r1_nb_voix,tf_r1_sortant,tf_r1_civilite,tf_r2_nuance,tf_r2_nb_voix,tf_r2_sortant,tf_r2_civilite,t1_nb_exprimes,t1_nb_votant,t1_nb_inscrit,t1_ecart1,t1_ecart2,t1_r1_nuance,t1_r1_nb_voix,t1_r1_sortant,t1_r1_civilite,t1_r2_nuance,t1_r2_nb_voix,t1_r2_sortant,t1_r2_civilite,t1_r3_nuance,t1_r3_nb_voix,t1_r3_sortant,t1_r3_civilite
67-404,Rejet,,1967-5-11,unique,2322,1861,1967,1967-3-5,1967-3-12,an,herault,4,2,50425,53078,66544,6709,COM,28567,TRUE,,UD5,21858,FALSE,,50514,51824,66540,3443,889,COM,17237,TRUE,,UD5,13794,FALSE,,FGDS,12905,FALSE,
68-527,Rejet,,1968-9-12,unique,3099,2630,1968,1968-6-23,1968-6-30,an,aude,1,2,46052,47675,57847,1610,FGDS,23831,TRUE,,UDR-RI,22221,FALSE,,46865,48201,57858,6443,1043,UDR,19656,FALSE,,FGDS,13213,TRUE,,COM,12170,FALSE,
88-1119,Non lieu à statuer,,1988-10-3,unique,7550,7092,1988,1988-6-5,1988-6-12,an,la-reunion,5,2,42161,43431,60043,2929,UDF,22545,FALSE,M,COM,19616,FALSE,M,39042,39666,60045,3162,817,UDF,15301,FALSE,M,COM,12139,FALSE,M,SOC,11322,FALSE,M
97-2165,Annulation,,1997-10-23,unique,9449,8876,1997,1997-5-25,1997-6-1,an,meurthe-et-moselle,4,2,47867,51902,73637,9,RPR,23938,TRUE,M,SOC,23929,FALSE,M,46556,49303,73648,2457,1915,RPR,13210,TRUE,M,SOC,10753,FALSE,M,FRN,8838,FALSE,M
2022-5817,Rejet,Oui,2022-8-5,unique,14810,14233,2022,2022-6-12,2022-6-19,an,bouches-du-rhone,16,2,37897,41821,91764,3743,RN,20820,FALSE,M,NUP,17077,FALSE,M,39934,41071,91744,1651,703,RN,12324,FALSE,M,NUP,10673,FALSE,M,ENS,9970,FALSE,F
2008-4526,Rejet,Oui,2009-5-14,unique,11641,11100,2007,2007-6-10,2007-6-17,an,marne,1,2,28797,30039,57918,2141,UMP,15469,FALSE,M,SOC,13328,FALSE,M,29970,30785,57918,4466,1977,UMP,11639,FALSE,M,SOC,7173,FALSE,M,DVD,5196,TRUE,M
2022-5807,Rejet,Oui,2022-8-5,unique,15003,14427,2022,2022-6-12,2022-6-19,an,meurthe-et-moselle,4,2,40127,42823,97544,9777,LR,24952,TRUE,M,RN,15175,FALSE,F,45507,46319,97548,2414,3098,LR,14239,TRUE,M,RN,11825,FALSE,F,NUP,8727,FALSE,F
68-556,Rejet,,1968-9-19,unique,3150,2712,1968,1968-6-23,1968-6-30,an,haute-garonne,2,2,49878,50870,67884,4018,UDR-RI,26948,FALSE,,FGDS,22930,TRUE,,51274,52101,67885,7658,4100,RIUDR,19931,FALSE,,FGDS,12273,TRUE,,COM,8173,FALSE,
93-1389,Inéligibilité,,1993-7-7,unique,8144,7569,1993,1993-3-11,1993-3-28,an,hautes-alpes,1,2,33601,35938,47940,1575,RPR,17588,FALSE,,SOC,16013,TRUE,,32563,34404,47940,480,2707,RPR,8890,FALSE,,SOC,8410,TRUE,,UDF,5703,FALSE,
2022-5746,Rejet,Oui,2022-7-29,unique,15056,14480,2022,2022-6-12,2022-6-19,an,pas-de-calais,1,2,49091,52817,104991,5669,RN,27380,FALSE,M,ENS,21711,TRUE,M,50975,52371,104993,5757,4817,RN,18153,FALSE,M,ENS,12396,TRUE,M,NUP,7579,FALSE,M
2022-5753,Rejet,Oui,2022-8-5,unique,14848,14271,2022,2022-6-12,2022-6-19,an,dordogne,2,2,37452,42635,84297,330,RN,18891,FALSE,M,ENS,18561,TRUE,M,43487,44623,84302,747,377,RN,10338,FALSE,M,ENS,9591,TRUE,M,NUP,9214,FALSE,F
2017-5250,Rejet,Oui,2017-7-21,unique,13758,13181,2017,2017-6-11,2017-6-18,an,herault,2,2,20677,22707,60438,945,FI,10811,FALSE,F,REM,9866,FALSE,F,25805,26392,60436,1489,2955,REM,7375,FALSE,F,FI,5886,FALSE,F,LR,2931,FALSE,F
2018-5626,Rejet,Oui,2018-6-1,unique,14147,13573,2017,2017-6-11,2017-6-18,an,guyane,2,2,13284,13836,39422,56,REM,6670,FALSE,M,REG,6614,FALSE,M,9865,10287,39421,1594,82,REM,3595,FALSE,M,REG,2001,FALSE,M,DVG,1919,FALSE,F
2017-5253,Rejet,Oui,2017-7-21,unique,13762,13185,2017,2017-6-11,2017-6-18,an,herault,6,2,38590,41586,91267,2690,FN,20640,FALSE,F,REM,17950,FALSE,F,42539,43422,91268,4546,2738,FN,15061,FALSE,F,REM,10515,FALSE,F,LR,7777,FALSE,M
2017-5156,Rejet,Oui,2017-8-4,unique,13983,13407,2017,2017-6-11,2017-6-18,an,haute-savoie,4,2,31407,33297,85236,2909,LR,17158,FALSE,F,REM,14249,FALSE,F,35517,35984,85191,1406,8158,REM,12992,FALSE,F,LR,11586,FALSE,F,FN,3428,FALSE,M
2017-5148,Rejet,Oui,2017-8-4,unique,14056,13482,2017,2017-6-11,2017-6-18,an,vaucluse,1,2,26212,29164,72991,4244,REM,15228,FALSE,M,FN,10984,FALSE,F,31555,32264,72991,2234,3171,REM,9495,FALSE,M,FN,7261,FALSE,F,FI,4090,FALSE,F
2017-5143,Rejet,Oui,2017-7-28,unique,13804,13227,2017,2017-6-11,2017-6-18,an,loire,5,2,40008,44826,101144,2506,MDM,21257,FALSE,F,LR,18751,FALSE,F,49492,50718,101144,4615,4702,MDM,16880,FALSE,F,LR,12265,FALSE,F,FN,7563,FALSE,F
2017-5140,Rejet,Oui,2017-7-28,unique,14150,13576,2017,2017-6-11,2017-6-18,an,la-reunion,3,2,34819,40775,92752,4485,LR,19652,FALSE,F,DVD,15167,FALSE,M,31529,35145,92761,655,4659,LR,8915,FALSE,F,DVD,8260,FALSE,M,SOC,3601,FALSE,M
