numero_dec,solution,article38,date_dec,jonction,id_infos_circo_tf,id_infos_circo_t1,annee_election,date_premier_tour,date_second_tour,type_election,nom_dep,circonscription,tour_final,tf_nb_exprimees,tf_nb_votant,tf_nb_inscrit,tf_ecart1,tf_r1_nuance,tf_r1_nb_voix,tf_r1_sortant,tf_r1_civilite,tf_r2_nuance,tf_r2_nb_voix,tf_r2_sortant,tf_r2_civilite,t1_nb_exprimes,t1_nb_votant,t1_nb_inscrit,t1_ecart1,t1_ecart2,t1_r1_nuance,t1_r1_nb_voix,t1_r1_sortant,t1_r1_civilite,t1_r2_nuance,t1_r2_nb_voix,t1_r2_sortant,t1_r2_civilite,t1_r3_nuance,t1_r3_nb_voix,t1_r3_sortant,t1_r3_civilite
97-2434,Inéligibilité,,1998-2-20,unique,9683,9112,1997,1997-5-25,1997-6-1,an,haute-vienne,3,2,46953,50431,66104,9975,SOC,28464,FALSE,F,RPR,18489,FALSE,M,44255,47652,66109,2131,5694,SOC,14684,FALSE,F,RPR,12553,FALSE,M,COM,6859,FALSE,F
97-2435,Inéligibilité,,1998-2-20,unique,9568,8995,1997,1997-5-25,1997-6-1,an,rhone,12,2,45311,47548,66806,4957,RPR,25134,TRUE,M,SOC,20177,FALSE,M,43474,44871,66806,5212,3069,RPR,15071,TRUE,M,SOC,9859,FALSE,M,FRN,6790,FALSE,M
97-2436,Inéligibilité,,1998-2-20,unique,9568,8995,1997,1997-5-25,1997-6-1,an,rhone,12,2,45311,47548,66806,4957,RPR,25134,TRUE,M,SOC,20177,FALSE,M,43474,44871,66806,5212,3069,RPR,15071,TRUE,M,SOC,9859,FALSE,M,FRN,6790,FALSE,M
97-2441,Inéligibilité,,1998-2-20,unique,9747,9177,1997,1997-5-25,1997-6-1,an,val-d-oise,7,2,51238,52525,72255,980,ECO,22891,FALSE,M,RPR,21911,TRUE,M,46368,48192,72169,518,3503,RPR,13044,TRUE,M,ECO,12526,FALSE,M,FRN,9023,FALSE,M
97-2443,Inéligibilité,,1998-2-20,unique,9746,9176,1997,1997-5-25,1997-6-1,an,val-d-oise,6,2,42130,44519,64983,5214,RPR,23672,FALSE,M,SOC,18458,FALSE,F,40576,42087,64993,4644,1837,RPR,13961,FALSE,M,SOC,9317,FALSE,F,FRN,7480,FALSE,M
97-2444,Inéligibilité,,1998-2-20,unique,9748,9178,1997,1997-5-25,1997-6-1,an,val-d-oise,8,2,28444,30212,45823,5490,SOC,16967,FALSE,M,RPR,11477,FALSE,M,27454,28562,45930,4306,232,SOC,10055,FALSE,M,RPR,5749,FALSE,M,FRN,5517,FALSE,M
2012-4566,Rejet,Oui,2012-7-13,unique,12525,11952,2012,2012-6-10,2012-6-17,an,bouches-du-rhone,3,2,35225,37291,70329,699,SOC,17962,FALSE,F,FRN,17263,FALSE,M,36739,37418,70351,27,3523,FRN,10975,FALSE,M,SOC,10948,FALSE,F,UMP,7425,FALSE,F
2012-4598,Rejet,Non,2012-12-7,unique,12525,11952,2012,2012-6-10,2012-6-17,an,bouches-du-rhone,3,2,35225,37291,70329,699,SOC,17962,FALSE,F,FRN,17263,FALSE,M,36739,37418,70351,27,3523,FRN,10975,FALSE,M,SOC,10948,FALSE,F,UMP,7425,FALSE,F
2012-4616,Rejet,Non,2012-11-29,unique,12965,12420,2012,2012-6-10,2012-6-17,an,seine-saint-denis,8,2,32464,33336,60335,552,SOC,16508,FALSE,F,UMP,15956,FALSE,M,32659,33135,60129,744,7707,SOC,12371,FALSE,F,UMP,11627,FALSE,M,FRN,3920,FALSE,M
2012-4628,Rejet,Non,2012-12-14,unique,12526,11953,2012,2012-6-10,2012-6-17,an,bouches-du-rhone,4,2,27178,28517,58696,11128,SOC,19163,FALSE,M,FRN,8035,FALSE,F,30470,30864,58700,5779,103,SOC,10135,FALSE,M,FRN,4356,FALSE,F,UMP,4253,FALSE,F
2012-4648,Rejet,Oui,2012-7-20,unique,12566,11997,2012,2012-6-10,2012-6-17,an,creuse,1,2,61620,64210,96735,9306,SOC,35463,FALSE,M,UMP,26157,FALSE,M,61326,62489,96749,6509,16034,SOC,27235,FALSE,M,UMP,20726,FALSE,M,FRN,4692,FALSE,M
97-2445,Inéligibilité,,1998-2-20,unique,9748,9178,1997,1997-5-25,1997-6-1,an,val-d-oise,8,2,28444,30212,45823,5490,SOC,16967,FALSE,M,RPR,11477,FALSE,M,27454,28562,45930,4306,232,SOC,10055,FALSE,M,RPR,5749,FALSE,M,FRN,5517,FALSE,M
2012-4564,Rejet,Oui,2012-7-20,unique,12910,12364,2012,2012-6-10,2012-6-17,an,vaucluse,1,2,40360,41336,72480,6955,SOC,18264,FALSE,F,FRN,11309,FALSE,M,40468,41038,72480,1245,243,SOC,11107,FALSE,F,FRN,9862,FALSE,M,UMP,9619,FALSE,F
2012-4569/4570/4571,Rejet,Oui,2012-7-20,jonction,12912,12366,2012,2012-6-10,2012-6-17,an,vaucluse,3,2,44946,45698,70912,2820,FRN,18920,FALSE,F,UMP,16100,FALSE,M,43792,44301,70918,2021,3527,FRN,15172,FALSE,F,UMP,13151,FALSE,M,SOC,9624,FALSE,F
2012-4629,Rejet,Oui,2012-7-20,unique,12988,12443,2012,2012-6-10,2012-6-17,an,val-d-oise,8,2,21370,22182,52042,6966,SOC,14169,FALSE,M,UMP,7203,FALSE,F,21896,22367,52042,6094,2605,SOC,10997,FALSE,M,UMP,4903,FALSE,F,FRN,2298,FALSE,M
2012-4587,Rejet,Non,2012-11-20,unique,12888,12341,2012,2012-6-10,2012-6-17,an,yvelines,11,2,35978,36825,65697,3872,SOC,19925,FALSE,M,UMP,16053,FALSE,M,36899,37300,65700,4075,9546,SOC,16716,FALSE,M,UMP,12641,FALSE,M,FRN,3095,FALSE,M
97-2450,Inéligibilité,,1998-2-20,unique,9609,9038,1997,1997-5-25,1997-6-1,an,paris,19,2,25573,26978,40954,3685,SOC,14629,FALSE,M,UDF,10944,FALSE,M,24304,25087,40955,1590,2839,SOC,8025,FALSE,M,UDF,6435,FALSE,M,FRN,3596,FALSE,M
97-2451,Inéligibilité,,1998-2-20,unique,9609,9038,1997,1997-5-25,1997-6-1,an,paris,19,2,25573,26978,40954,3685,SOC,14629,FALSE,M,UDF,10944,FALSE,M,24304,25087,40955,1590,2839,SOC,8025,FALSE,M,UDF,6435,FALSE,M,FRN,3596,FALSE,M
97-2499,Inéligibilité,,1998-2-20,unique,9728,9158,1997,1997-5-25,1997-6-1,an,seine-saint-denis,13,2,37690,39921,60144,3582,SOC,20636,FALSE,M,RPR,17054,FALSE,M,36544,37815,60144,2731,2124,SOC,11276,FALSE,M,RPR,8545,FALSE,M,FRN,6421,FALSE,M
2012-4642,Rejet,Non,2012-10-18,unique,13011,12470,2012,2012-6-10,2012-6-17,an,polynesie-francaise,3,2,31550,32745,59645,152,DVD,15851,FALSE,M,DVG,15699,FALSE,M,27995,28498,60194,1853,2088,DVG,8545,FALSE,M,DVD,6692,FALSE,M,UMP,4604,FALSE,M
2012-4644,Rejet,Oui,2012-7-13,unique,12502,11925,2012,2012-6-10,2012-6-17,an,alpes-maritimes,2,2,44703,46109,82396,2942,UMP,23822,FALSE,M,ECO,20880,FALSE,M,48064,48630,82406,3395,3679,UMP,17197,FALSE,M,ECO,13802,FALSE,M,FRN,10123,FALSE,M
2002-2767,Rejet,Non,2002-10-31,unique,10848,10325,2002,2002-6-9,2002-6-16,an,guadeloupe,4,2,28005,29464,66611,463,SOC,14234,FALSE,M,DVD,13771,TRUE,M,22064,23198,66637,1198,6320,DVD,9741,TRUE,M,SOC,8543,FALSE,M,DVD,2223,FALSE,M
2007-3884,Rejet,Oui,2007-7-26,unique,11817,11337,2007,2007-6-10,2007-6-17,an,vaucluse,3,2,55340,57661,97321,16020,UMP,35680,FALSE,M,SOC,19660,FALSE,F,58518,59562,97325,18931,5031,UMP,28550,FALSE,M,SOC,9619,FALSE,F,FRN,4588,FALSE,M
2017-5256R QPC /,Rejet,Non,2018-2-2,jonction,14059,13485,2017,2017-6-11,2017-6-18,an,vaucluse,4,2,37790,40826,88777,278,EXD,19034,FALSE,M,REM,18756,FALSE,F,42559,43599,88791,2592,441,REM,10744,FALSE,F,EXD,8152,FALSE,M,FN,7711,FALSE,F
58-76,Rejet,,1959-1-27,unique,560,102,1958,1958-11-23,1958-11-30,an,eure-et-loir,3,2,42394,43346,57061,3513,CNI,17798,FALSE,,RADSOC,14285,FALSE,,41829,43494,57067,4039,2701,CNI,13005,FALSE,,RADSOC,8966,FALSE,,COM,6265,FALSE,
97-2501,Inéligibilité,,1998-2-20,unique,9599,9026,1997,1997-5-25,1997-6-1,an,paris,7,2,36699,38078,57053,3303,SOC,20001,FALSE,M,ECO,16698,FALSE,F,34063,35076,57053,621,6778,SOC,10909,FALSE,M,ECO,10288,FALSE,F,FRN,3510,FALSE,M
97-2502,Inéligibilité,,1998-2-20,unique,9644,9073,1997,1997-5-25,1997-6-1,an,yvelines,12,2,42863,45322,64552,3547,RPR,23205,FALSE,M,SOC,19658,FALSE,F,41014,42633,64556,5209,2238,RPR,13913,FALSE,M,SOC,8704,FALSE,F,FRN,6466,FALSE,M
98-2562/2568,Annulation,,1999-2-3,jonction,9253,8676,1997,1997-5-25,1997-6-1,an,bouches-du-rhone,9,2,54796,56463,76970,4310,COM,24427,TRUE,M,UDF,20117,FALSE,M,50588,52459,76977,2907,1843,COM,16202,TRUE,M,UDF,13295,FALSE,M,FRN,11452,FALSE,F
2000-2582,Inéligibilité,,2000-5-30,unique,9611,9040,1997,1997-5-25,1997-6-1,an,paris,21,2,42629,44501,66049,3977,SOC,23303,FALSE,F,UDF,19326,TRUE,M,40086,41355,66049,818,5657,UDF,11827,TRUE,M,SOC,11009,FALSE,F,FRN,5352,FALSE,F
2002-3280,Inéligibilité,,2003-3-20,unique,10743,10209,2002,2002-6-9,2002-6-16,an,yvelines,6,2,31758,32967,56344,11278,UMP,21518,FALSE,M,PRG,10240,FALSE,M,37258,37625,56354,8785,350,UMP,15907,FALSE,M,PRG,7122,FALSE,M,DVD,6772,FALSE,M
2002-3101,Inéligibilité,,2003-4-9,unique,10664,10114,2002,2002-6-9,2002-6-16,an,bas-rhin,5,2,39668,43983,92984,5496,UMP,22582,FALSE,M,DVD,17086,FALSE,M,53104,54695,92990,1347,5560,UMP,14242,FALSE,M,DVD,12895,FALSE,M,FRN,7335,FALSE,M
2007-3965,Annulation - Inéligibilité,,2007-11-29,unique,11850,11382,2007,2007-6-10,2007-6-17,an,hauts-de-seine,12,2,52401,53615,85816,3037,UMP,27719,FALSE,M,SOC,24682,FALSE,M,55560,56058,85821,9153,10673,UMP,25883,TRUE,M,SOC,16730,FALSE,M,MODEM,6057,FALSE,M
97-2503,Inéligibilité,,1998-2-20,unique,9738,9168,1997,1997-5-25,1997-6-1,an,val-de-marne,10,2,19965,27707,54072,,COM,19965,FALSE,M,,,,,33749,34807,54073,4910,200,COM,10921,FALSE,M,SOC,6011,FALSE,M,UDF,5811,FALSE,F
97-2505,Inéligibilité,,1998-2-20,unique,9526,8953,1997,1997-5-25,1997-6-1,an,puy-de-dome,5,2,43790,47644,64214,2738,SOC,23264,FALSE,M,UDF,20526,FALSE,M,41576,44397,64229,628,3182,UDF,12213,FALSE,M,SOC,11585,FALSE,M,COM,8403,FALSE,M
2007-4001,Rejet,Non,2007-11-22,unique,11482,10921,2007,2007-6-10,2007-6-17,an,bouches-du-rhone,16,2,52275,53859,84621,2429,SOC,27352,FALSE,M,UMP,24923,FALSE,M,50287,51131,84630,3529,12664,UMP,19818,TRUE,M,SOC,16289,FALSE,M,COM,3625,FALSE,M
2007-3891,Rejet,Non,2007-11-22,unique,11739,11228,2007,2007-6-10,2007-6-17,an,rhone,7,2,31738,32389,60697,1472,SOC,16605,FALSE,M,UMP,15133,FALSE,M,31762,32115,60697,1658,8616,UMP,12403,FALSE,M,SOC,10745,FALSE,M,MODEM,2129,FALSE,F
97-2507,Inéligibilité,,1998-2-20,unique,9660,9089,1997,1997-5-25,1997-6-1,an,tarn-et-garonne,2,2,53142,57356,74683,1732,SOC,27437,FALSE,M,UDF,25705,TRUE,M,51224,54541,74718,144,5662,SOC,13391,FALSE,M,UDF,13247,TRUE,M,FRN,7585,FALSE,M
97-2542,Inéligibilité,,1998-2-20,unique,9491,8918,1997,1997-5-25,1997-6-1,an,nord,18,2,54387,57812,75767,1859,SOC,28123,FALSE,F,DVD,26264,FALSE,M,52561,55641,75780,3351,4256,DVD,16224,FALSE,M,SOC,12873,FALSE,F,FRN,8617,FALSE,M
2007-3448,Rejet,Oui,2007-7-12,unique,10885,10885,2007,2007-6-10,2007-6-17,an,alpes-maritimes,6,1,64263,65126,107076,30855,UMP,40576,TRUE,M,SOC,9721,FALSE,M,64263,65126,107076,30855,5416,UMP,40576,TRUE,M,SOC,9721,FALSE,M,MODEM,4305,FALSE,M
2007-3844,Rejet,Non,2007-12-13,unique,11481,10920,2007,2007-6-10,2007-6-17,an,bouches-du-rhone,15,2,43465,52247,100084,10123,DVD,26794,FALSE,M,UMP,16671,FALSE,M,61301,62537,100081,134,5559,DVD,16658,FALSE,M,UMP,16524,TRUE,M,SOC,10965,FALSE,M
97-2283,Inéligibilité,,1998-3-12,unique,9729,9159,1997,1997-5-25,1997-6-1,an,val-de-marne,1,2,34277,35954,50930,5549,UDF,19913,FALSE,M,SOC,14364,FALSE,F,33008,34243,50929,2076,1608,UDF,8986,FALSE,M,SOC,6910,FALSE,F,DVD,5302,FALSE,M
2007-3889,Rejet,Non,2007-10-25,unique,11747,11240,2007,2007-6-10,2007-6-17,an,saone-et-loire,2,2,40447,41465,64527,77,UMP,20262,FALSE,M,PRG,20185,FALSE,M,39552,40380,64533,3853,10612,UMP,17157,FALSE,M,PRG,13304,FALSE,M,MODEM,2692,FALSE,M
97-2288,Inéligibilité,,1998-3-12,unique,9199,9199,1997,1997-5-25,1997-6-1,an,polynesie-francaise,2,1,34209,34795,53040,12066,DVD,20154,FALSE,M,DIV,8088,FALSE,M,34209,34795,53040,12066,2515,DVD,20154,FALSE,M,DIV,8088,FALSE,M,DVD,5573,FALSE,M
58-17,Rejet,,1959-1-6,unique,322,322,1958,1958-11-23,1958-11-30,an,haute-saone,2,1,54831,56369,68660,11530,UNR,29259,FALSE,,RADSOC,17729,FALSE,,54831,56369,68660,11530,12898,UNR,29259,FALSE,,RADSOC,17729,FALSE,,COM,4831,FALSE,
93-1416,Inéligibilité,,1993-9-22,unique,8209,7641,1993,1993-3-11,1993-3-28,an,cotes-d-armor,1,2,55128,59135,81414,4042,RPR,29585,FALSE,,SOC,25543,TRUE,,53976,56916,81427,7905,4398,RPR,19280,FALSE,,SOC,11375,TRUE,,COM,6977,FALSE,
93-1557,Inéligibilité,,1993-9-29,unique,8518,8006,1993,1993-3-11,1993-3-28,an,deux-sevres,4,2,24474,32528,67797,,UDF,24474,FALSE,,,,,,48081,51048,67799,3704,7958,UDF,18068,FALSE,,RPR,14364,FALSE,,SOC,6406,FALSE,
97-2321,Inéligibilité,,1998-3-12,unique,9761,9191,1997,1997-5-25,1997-6-1,an,la-reunion,2,2,44768,48683,150589,938,COM,22853,FALSE,F,RPR,21915,FALSE,M,33197,36280,75781,6838,8380,COM,17049,FALSE,F,RPR,10211,FALSE,M,DVG,1831,FALSE,M
97-2363,Inéligibilité,,1998-3-12,unique,9258,8681,1997,1997-5-25,1997-6-1,an,bouches-du-rhone,14,2,56150,59932,84242,1912,RPR,29031,FALSE,M,SOC,27119,FALSE,M,53932,56148,84246,4060,389,SOC,14409,FALSE,M,RPR,10349,FALSE,M,FRN,9960,FALSE,M
97-2364,Inéligibilité,,1998-3-12,unique,9258,8681,1997,1997-5-25,1997-6-1,an,bouches-du-rhone,14,2,56150,59932,84242,1912,RPR,29031,FALSE,M,SOC,27119,FALSE,M,53932,56148,84246,4060,389,SOC,14409,FALSE,M,RPR,10349,FALSE,M,FRN,9960,FALSE,M
97-2371,Inéligibilité,,1998-3-12,unique,9372,8797,1997,1997-5-25,1997-6-1,an,indre-et-loire,2,2,54856,58061,78069,2680,SOC,28768,FALSE,M,RPR,26088,TRUE,M,51689,54537,78070,442,10233,SOC,17274,FALSE,M,RPR,16832,TRUE,M,FRN,6599,FALSE,M
97-2373,Inéligibilité,,1998-3-12,unique,9585,9012,1997,1997-5-25,1997-6-1,an,savoie,1,2,58877,62870,88444,4069,UDF,31473,FALSE,M,SOC,27404,FALSE,M,55115,58563,88456,4156,4405,UDF,18056,FALSE,M,SOC,13900,FALSE,M,FRN,9495,FALSE,M
97-2374,Inéligibilité,,1998-3-12,unique,9585,9012,1997,1997-5-25,1997-6-1,an,savoie,1,2,58877,62870,88444,4069,UDF,31473,FALSE,M,SOC,27404,FALSE,M,55115,58563,88456,4156,4405,UDF,18056,FALSE,M,SOC,13900,FALSE,M,FRN,9495,FALSE,M
97-2375,Inéligibilité,,1998-3-12,unique,9585,9012,1997,1997-5-25,1997-6-1,an,savoie,1,2,58877,62870,88444,4069,UDF,31473,FALSE,M,SOC,27404,FALSE,M,55115,58563,88456,4156,4405,UDF,18056,FALSE,M,SOC,13900,FALSE,M,FRN,9495,FALSE,M
97-2376,Inéligibilité,,1998-3-12,unique,9585,9012,1997,1997-5-25,1997-6-1,an,savoie,1,2,58877,62870,88444,4069,UDF,31473,FALSE,M,SOC,27404,FALSE,M,55115,58563,88456,4156,4405,UDF,18056,FALSE,M,SOC,13900,FALSE,M,FRN,9495,FALSE,M
2017-5124,Rejet,Oui,2017-7-21,unique,13878,13302,2017,2017-6-11,2017-6-18,an,nord,4,2,37131,41504,99302,6497,REM,21814,FALSE,F,LR,15317,FALSE,M,48972,49746,99303,10631,2229,REM,18781,FALSE,F,LR,8150,FALSE,M,FI,5921,FALSE,M
2017-5012,Rejet,Oui,2017-7-28,unique,13709,13132,2017,2017-6-11,2017-6-18,an,drome,4,2,35636,40432,94249,4596,LR,20116,FALSE,F,REM,15520,FALSE,F,46305,47275,94257,566,1772,REM,10345,FALSE,F,LR,9779,FALSE,F,FN,8007,FALSE,M
2012-4545,Rejet,Oui,2012-7-13,unique,13023,12482,2012,2012-6-10,2012-6-17,an,francais-de-l-etranger,10,2,20550,21038,91324,1288,UMP,10919,FALSE,M,SOC,9631,FALSE,M,21005,21325,91600,689,3810,UMP,6749,FALSE,M,SOC,6060,FALSE,M,DIV,2250,FALSE,F
2022-5965,Inéligibilité,,2023-3-31,unique,14880,14303,2022,2022-6-12,2022-6-19,an,gard,4,2,40903,45789,94343,3675,RN,22289,FALSE,M,NUP,18614,FALSE,M,44664,45624,94361,1778,2233,RN,13648,FALSE,M,NUP,11870,FALSE,M,ENS,9637,FALSE,M
2017-5026,Rejet,Non,2017-12-8,unique,13621,13044,2017,2017-6-11,2017-6-18,an,alpes-maritimes,3,2,32482,35377,89137,7042,REM,19762,FALSE,M,FN,12720,FALSE,M,39890,40578,89137,4251,300,REM,12727,FALSE,M,FN,8476,FALSE,M,UDI,8176,FALSE,M
2017-5092,Annulation,,2017-12-18,unique,13821,13244,2017,2017-6-11,2017-6-18,an,loiret,4,2,29114,32374,74643,8,LR,14561,FALSE,M,REM,14553,FALSE,F,35770,36547,74647,1708,1073,REM,10215,FALSE,F,LR,8507,FALSE,M,FN,7434,FALSE,M
97-2377,Inéligibilité,,1998-3-12,unique,9585,9012,1997,1997-5-25,1997-6-1,an,savoie,1,2,58877,62870,88444,4069,UDF,31473,FALSE,M,SOC,27404,FALSE,M,55115,58563,88456,4156,4405,UDF,18056,FALSE,M,SOC,13900,FALSE,M,FRN,9495,FALSE,M
97-2378,Inéligibilité,,1998-3-12,unique,9585,9012,1997,1997-5-25,1997-6-1,an,savoie,1,2,58877,62870,88444,4069,UDF,31473,FALSE,M,SOC,27404,FALSE,M,55115,58563,88456,4156,4405,UDF,18056,FALSE,M,SOC,13900,FALSE,M,FRN,9495,FALSE,M
97-2379,Inéligibilité,,1998-3-12,unique,9527,8954,1997,1997-5-25,1997-6-1,an,puy-de-dome,6,2,58504,62391,81706,4956,SOC,31730,FALSE,M,UDF,26774,TRUE,M,53418,57180,81721,896,8384,UDF,17117,TRUE,M,SOC,16221,FALSE,M,COM,7837,FALSE,M
97-2381,Inéligibilité,,1998-3-12,unique,9486,8913,1997,1997-5-25,1997-6-1,an,nord,13,2,42640,45505,64454,5884,SOC,24262,FALSE,M,RPR,18378,TRUE,M,41840,43776,64454,5073,3325,SOC,15728,FALSE,M,RPR,10655,TRUE,M,FRN,7330,FALSE,M
2017-4999/5007/5078,Annulation,,2017-11-16,jonction,14128,13554,2017,2017-6-11,2017-6-18,an,val-d-oise,1,2,28396,32299,81549,2404,REM,15400,FALSE,F,LR,12996,FALSE,M,38452,39219,81547,6990,941,REM,13817,FALSE,F,LR,6827,FALSE,M,FN,5886,FALSE,F
2017-5091,Annulation,,2017-12-8,unique,14147,13573,2017,2017-6-11,2017-6-18,an,guyane,2,2,13284,13836,39422,56,REM,6670,FALSE,M,REG,6614,FALSE,M,9865,10287,39421,1594,82,REM,3595,FALSE,M,REG,2001,FALSE,M,DVG,1919,FALSE,F
97-2382,Inéligibilité,,1998-3-12,unique,9481,8908,1997,1997-5-25,1997-6-1,an,nord,8,2,43722,44866,66909,2078,SOC,19048,FALSE,M,UDF,16970,TRUE,M,39886,41597,66909,1774,982,UDF,11619,TRUE,M,SOC,9845,FALSE,M,FRN,8863,FALSE,M
2017-5096,Rejet,Oui,2017-7-28,unique,13956,13380,2017,2017-6-11,2017-6-18,an,rhone,7,2,20681,23086,68017,251,REM,10466,FALSE,F,LR,10215,FALSE,M,26981,27332,68017,2772,2284,REM,8656,FALSE,F,LR,5884,FALSE,M,FI,3600,FALSE,M
2017-5146,Rejet,Oui,2017-7-21,unique,14048,13474,2017,2017-6-11,2017-6-18,an,var,1,2,26182,28975,74842,2714,LR,14448,FALSE,F,REM,11734,FALSE,F,33304,33886,74842,2096,1186,REM,10592,FALSE,F,LR,8496,FALSE,F,FN,7310,FALSE,M
2017-5075,Rejet,Oui,2017-7-21,unique,13958,13382,2017,2017-6-11,2017-6-18,an,rhone,9,2,37313,40167,91683,745,LR,19029,FALSE,M,REM,18284,FALSE,F,44586,45168,91690,3081,6026,REM,16059,FALSE,F,LR,12978,FALSE,M,FN,6952,FALSE,M
97-2383,Inéligibilité,,1998-3-12,unique,9605,9032,1997,1997-5-25,1997-6-1,an,paris,13,2,41444,43057,66584,9732,RPR,25588,FALSE,M,PRS,15856,FALSE,M,40710,41897,66588,10235,4111,RPR,18452,FALSE,M,PRS,8217,FALSE,M,FRN,4106,FALSE,M
2017-4997/5024,Rejet,Oui,2017-7-28,jonction,13933,13357,2017,2017-6-11,2017-6-18,an,pyrenees-orientales,3,2,31194,36121,83040,5808,REM,18501,FALSE,F,FN,12693,FALSE,F,39780,40933,83053,1360,1431,REM,9029,FALSE,F,FN,7669,FALSE,F,SOC,6238,FALSE,F
2017-5048/5136,Rejet,Oui,2017-7-28,jonction,13957,13381,2017,2017-6-11,2017-6-18,an,rhone,8,2,44235,47124,102568,3207,LR,23721,FALSE,M,REM,20514,FALSE,F,51369,52100,102553,2529,11516,REM,19021,FALSE,F,LR,16492,FALSE,M,FI,4976,FALSE,M
2002-2915,Inéligibilité,,2003-3-27,unique,10349,9772,2002,2002-6-9,2002-6-16,an,aisne,2,2,44881,46574,73005,6249,UMP,25565,FALSE,M,SOC,19316,TRUE,F,47054,47915,73010,7635,6342,UMP,20295,FALSE,M,SOC,12660,TRUE,F,FRN,6318,FALSE,M
2017-5057,Rejet,Non,2017-12-1,unique,14097,13523,2017,2017-6-11,2017-6-18,an,hauts-de-seine,6,2,34402,37239,74305,2622,LR,18512,FALSE,F,REM,15890,FALSE,M,42372,43034,74305,8793,3428,REM,17761,FALSE,M,LR,8968,FALSE,F,DVD,5540,FALSE,F
2017-5145,Rejet,Non,2017-12-8,unique,13890,13314,2017,2017-6-11,2017-6-18,an,nord,16,2,30535,33319,83023,3579,COM,17057,FALSE,M,FN,13478,FALSE,F,35901,36780,83022,3101,77,FN,10444,FALSE,F,COM,7343,FALSE,M,MDM,7266,FALSE,F
97-2385,Inéligibilité,,1998-3-12,unique,9319,8743,1997,1997-5-25,1997-6-1,an,eure-et-loir,3,2,48053,49964,67798,757,PRS,20502,FALSE,M,UDF,19745,TRUE,M,43586,46136,67829,1329,2904,UDF,12886,TRUE,M,PRS,11557,FALSE,M,FRN,8653,FALSE,M
97-2386,Inéligibilité,,1998-3-12,unique,9662,9091,1997,1997-5-25,1997-6-1,an,var,2,2,34144,37584,55440,1832,SOC,17988,FALSE,M,FRN,16156,FALSE,M,34774,35915,55440,3208,1334,FRN,10449,FALSE,M,SOC,7241,FALSE,M,UDF,5907,TRUE,M
93-1651,Inéligibilité,,1993-10-20,unique,8147,7573,1993,1993-3-11,1993-3-28,an,alpes-maritimes,3,2,41504,46634,73399,6588,UDF,24046,TRUE,,FRN,17458,FALSE,,45836,47206,73399,3419,844,FRN,12602,FALSE,,UDF,9183,TRUE,,RPR,8339,FALSE,
93-1689,Inéligibilité,,1993-11-25,unique,8354,7807,1993,1993-3-11,1993-3-28,an,meurthe-et-moselle,6,2,45203,49195,73594,3859,SOC,24531,FALSE,,UDF,20672,FALSE,,43973,47278,73601,1875,4171,UDF,11643,FALSE,,SOC,9768,FALSE,,FRN,5597,FALSE,
97-2389,Inéligibilité,,1998-3-12,unique,9384,8809,1997,1997-5-25,1997-6-1,an,isere,9,2,50557,54253,74081,3495,SOC,27026,FALSE,M,RPR,23531,TRUE,M,47866,50413,74081,1210,5069,RPR,14390,TRUE,M,SOC,13180,FALSE,M,FRN,8111,FALSE,M
97-2390,Inéligibilité,,1998-3-12,unique,9764,9197,1997,1997-5-25,1997-6-1,an,nouvelle-caledonie,2,2,25247,25816,53056,5551,RPR,15399,FALSE,M,DVD,9848,FALSE,M,23124,23986,52815,6718,4830,RPR,13102,FALSE,M,DVD,6384,FALSE,M,DVD,1554,FALSE,M
97-2392,Inéligibilité,,1998-3-12,unique,9627,9056,1997,1997-5-25,1997-6-1,an,seine-et-marne,4,2,50937,52647,72165,2868,RPR,22524,FALSE,M,SOC,19656,FALSE,M,46284,48634,72174,3441,538,RPR,14010,FALSE,M,FRN,10569,FALSE,M,SOC,10031,FALSE,M
2002-3248,Non lieu à prononcer l'inéligibilité,,2003-3-20,unique,10277,10277,2002,2002-6-9,2002-6-16,an,hauts-de-seine,3,1,46618,47156,69705,15079,UMP,25758,TRUE,M,SOC,10679,FALSE,F,46618,47156,69705,15079,7155,UMP,25758,TRUE,M,SOC,10679,FALSE,F,FRN,3524,FALSE,F
97-2393,Inéligibilité,,1998-3-12,unique,9354,8778,1997,1997-5-25,1997-6-1,an,gironde,11,2,52121,55309,71585,8405,SOC,30263,FALSE,M,UDF,21858,TRUE,M,49795,52525,71593,3664,8886,SOC,18830,FALSE,M,UDF,15166,TRUE,M,FRN,6280,FALSE,M
2017-5142,Rejet,Non,2017-11-16,unique,13744,13167,2017,2017-6-11,2017-6-18,an,gers,2,2,30973,35923,71502,971,SOC,15972,FALSE,F,REM,15001,FALSE,M,39345,40559,71495,2527,2298,REM,9584,FALSE,M,SOC,7057,FALSE,F,FN,4759,FALSE,M
2017-5128,Rejet,Non,2017-12-8,unique,14034,13459,2017,2017-6-11,2017-6-18,an,yvelines,11,2,25838,28353,68015,1530,REM,13684,FALSE,F,LR,12154,FALSE,M,32919,33418,68023,3257,165,REM,10858,FALSE,F,LR,7601,FALSE,M,SOC,7436,FALSE,M
